Key,EN,RU,FR,DE,ES,IT
item/Tool7,Garden shovel,Садовая лопатка,Pelle de jardin,Gartenschaufel,Pala de jardín,Pala da giardino
item/Tool8,Nippers,Кусачки,Pince à ongles,Kneifzange,Tenazas,Tronchesine
item/Tool9,Hammer,Молоток,Marteau,Hammer,Martillo,Martello
item/Tool10,Drill,Дрель,Perceuse,Bohrmaschine,Taladro,Trapano
item/Tool11,Axe,Топор,Hache,Axt,Hacha,Ascia
item/Tool12,Crowbar,Лом,Pied-de-biche,Brecheisen,Palanca,Piede di porco
item/Tool13,Shovel,Лопата,Pelle,Schaufel,Pala,Badile
item/Tool14,Sledgehammer,Кувалда,Masse,Vorschlaghammer,Almádena,Mazza
item/Tool15,Jackhammer,Отбойный молоток,Marteau-piqueur,Presslufthammer,Martillo neumático,Martello pneumatico
item/Thread1,Needle,Иголка,Aiguille,Nadel,Aguja,Ago
item/Thread2,Needle and thread,Иголка с нитками,Fil et aiguille,Nadel und Faden,Hilo y aguja,Ago e filo
item/Thread3,Needle pad,Игольница,Coussin d’aiguille,Nadelkissen,Cojín de agujas,Puntaspilli
item/Thread4,Sewing kit,Швейный набор,Nécessaire de couture,Nähset,Costurero,Set da cucito
item/Scissors1,Manicure scissors,Ножнички,Ciseaux de manucure,Nagelschere,Tijeras de manicura,Forbici per manicure
item/Scissors2,Scissors,Ножницы,Ciseaux,Schere,Tijeras,Forbici
item/Scissors3,Large scissors,Большие ножницы,Gros ciseaux,Große Schere,Tijeras grandes,Forbici grandi
item/Scissors4,Cutter,Портняж. ножницы,Cutter,Schneidegerät,Cúter,Taglierina
item/Ruler1,Ruler,Линейка,Règle,Lineal,Regla,Righello
item/Ruler2,Tailor's tape measure,Портняж. метр,Mètre à ruban de tailleur,Schneidermaßband,Cinta métrica,Metro a nastro da sarto
item/Ruler3,T-square,Рейсшина,Té,Zeichenschiene,Regla T,Squadra
item/Ruler4,Tape measure,Рулетка,Mètre à ruban,Maßband,Cinta de medir,Metro a nastro
item/Cloth1,Cloth flap,Лоскут ткани,Rabat en tissu,Stofffetzen,Disco de tela,Lembo di stoffa
item/Cloth2,Cloth piece,Кусок ткани,Morceau de tissu,Stück Stoff,Trozo de tela,Pezzo di stoffa
item/Cloth3,Cloth roll,Рулон ткани,Rouleau de tissu,Rolle Stoff,Rollo de tela,Rotolo di stoffa
item/Cloth4,Several rolls of cloth,Несколько рулонов ткани,Plusieurs rouleaux de tissu,Mehrere Rollen Stoff,Varios rollos de tela,Molti rotoli di stoffa
item/Cloth5,Cloth,Ткань,Tissu,Stoff,Tela,Stoffa
item/Cloth6,Cloth box,Ящик с тканями,Boîte en tissu,Stoffkiste,Caja de tela,Scatola di stoffa
item/Cloth7,Cloth rack,Стойка с тканями,Portant,Stoffständer,Perchero,Portabiti
item/Linens1,Feather,Перо,Plume,Feder,Pluma,Piuma
item/Linens2,Feathers,Перья,Plumes,Federn,Plumas,Piume
item/Linens3,Cushion,Подушка,Coussin,Kissen,Cojín,Cuscino
item/Linens4,Pillows,Подушки,Oreillers,Kopfkissen,Almohadas,Guanciali
item/Linens5,Linen Set,Комплект белья,Parure de lit,Bettwäsche-Set,Ropa de cama,Set di biancheria
item/Linens6,Linen Set,Комплект белья,Parure de lit,Bettwäsche-Set,Ropa de cama,Set di biancheria
item/Linens7,Linen set for two,Комлпект для двоих,Parure de lit pour deux,Bettwäsche-Set für zwei,Ropa de cama para dos,Set di biancheria per due
item/Linens8,Linen set for two,Комлпект для двоих,Parure de lit pour deux,Bettwäsche-Set für zwei,Ropa de cama para dos,Set di biancheria per due
item/Linens9,Luxury Linen Set,Роскошный комплект,Parure de lit de luxe,Luxus-Bettwäsche-Set,Ropa de cama de lujo,Set di biancheria di lusso
item/Curtains1,Curtain,Занавеска,Rideau,Vorhang,Cortina,Tenda
item/Curtains2,Thin Curtains,Тонкие шторы,Rideaux fins,Dünne Vorhänge,Cortinas finas,Tende sottili
item/Curtains3,Curtains,Шторы,Rideaux,Vorhänge,Cortinas,Tende
item/Curtains4,Curtains,Шторы,Rideaux,Vorhänge,Cortinas,Tende
item/Catalog1,Leaflet,Листик,Dépliant,Flugblatt,Panfleto,Volantino
item/Catalog2,Sheet,Лист,Drap,Seite,Hoja,Foglio
item/Catalog3,Brochure,Брошюра,Brochure,Broschüre,Folleto,Brochure
item/Catalog4,Catalog spread,Разворот каталога,Diffusion du catalogue,Katalogseite,Catálogo extendido,Distribuzione catalogo
item/Catalog5,Catalog,Каталог,Catalogue,Katalog,Catálogo,Catalogo
item/Catalog6,Several catalogs,Несколько каталогов,Plusieurs catalogues,Mehrere Kataloge,Varios catálogos,Molti cataloghi
item/Catalog7,Several catalogs,Несколько каталогов,Plusieurs catalogues,Mehrere Kataloge,Varios catálogos,Molti cataloghi
item/Catalog8,Large catalog,Большой каталог,Gros catalogue,Großer Katalog,Catálogo grande,Grande catalogo
item/Brush1,Small brush,Маленькая кисть,Petit pinceau,Kleiner Pinsel,Pincel pequeño,Pennello piccolo
item/Brush2,Brush,Кисть,Pinceau,Pinsel,Cepillo,Pennello
item/Brush3,Large brush,Широкая кисть,Gros pinceau,Großer Pinsel,Pincel grande,Pennello grande
item/Brush4,Brush with tray,Кисть с лотком,Pinceau et plateau,Pinsel mit Farbschale,Pincel con bandeja,Pennello con vaschetta
item/Brush5,Small brush,Мини-валик,Petit pinceau,Kleiner Pinsel,Pincel pequeño,Pennello piccolo
item/Brush6,Roller,Валик,Rouleau,Farbroller,Rodillo,Rullo
item/Brush7,Roller with tray,Валик с лотком,Rouleau et plateau,Farbroller mit Farbschale,Rodillo con bandeja,Rullo con vaschetta
item/Brush8,Long handle paint roller,Валик с длинной ручкой,Rouleau à peinture à manche long,Farbroller mit langem Griff,Rodillo con brazo largo,Rullo per pittura con manico lungo
item/Brush9,Airbrush gun,Аэрограф,Pistolet aérographe,Spritzpistole,Aerógrafo,Pistola per aerografo
item/Brush10,Big paint gun,Большой аэрограф,Grand pistolet à peinture,Große Farbpistole,Aerógrafo grande,Pistola grande per pittura
item/Nails1,Crooked nail,Кривой гвоздь,Clou tordu,Krummer Nagel,Clavo doblado,Chiodo storto
item/Nails2,Several nails,Несколько гвоздей,Plusieurs clous,Mehrere Nägel,Varios clavos,Molti chiodi
item/Nails3,Several nails,Несколько гвоздей,Plusieurs clous,Mehrere Nägel,Varios clavos,Molti chiodi
item/Nails4,Pack of nails,Пачка гвоздей,Paquet de clous,Packung Nägel,Paquete de clavos,Pacco di chiodi
item/Nails5,Stack of nails,Упаковка гвоздей,Pile de clous,Haufen Nägel,Montón de clavos,Pila di chiodi
item/Light1,Light bulb,Лампочка,Ampoule,Glühbirne,Bombilla,Lampadina
item/Light2,Light bulb,Лампочка,Ampoule,Glühbirne,Bombilla,Lampadina
item/Light3,Flashlight,Фонарик,Lampe de poche,Taschenlampe,Linterna,Torcia elettrica
item/Light4,Lamp,Лампа,Lampe,Lampe,Lámpara,Lampada
item/Light5,Floor lamp,Торшер,Lampadaire sur pied,Stehleuchte,Lámpara de pie,Lampada da terra
item/Light6,Chandelier,Люстра,Chandelier,Kronleuchter,Lámpara de araña,Candelabro
item/Light7,Chandelier,Люстра,Chandelier,Kronleuchter,Lámpara de araña,Candelabro
item/Light8,Luxury Chandelier,Роскошная люстра,Chandelier de luxe,Luxus-Kronleuchter,Lámpara de lujo,Candelabro di lusso
item/Bricks1,Clay,Глина,Argile,Ton,Arcilla,Terracotta
item/Bricks2,Clay shards,Глиняные осколки,Morceaux d’argile,Tonscherben,Fragmentos de arcilla,Frammenti di terracotta
item/Bricks3,Clay shards,Глиняные осколки,Morceaux d’argile,Tonscherben,Fragmentos de arcilla,Frammenti di terracotta
item/Bricks4,Raw Bricks,Сырой кирпич,Briques brutes,Rohe Ziegelsteine,Ladrillos crudos,Mattoni grezzi
item/Bricks5,Brick,Кирпич,Brique,Ziegelstein,Ladrillo,Mattone
item/Bricks6,A pair of bricks,Пара кирпичей,Une paire de briques,Ein Paar Ziegelsteine,Par de ladrillos,Un paio di mattoni
item/Bricks7,Several bricks,Несколько кирпичей,Plusieurs briques,Mehrere Ziegelsteine,Varios ladrillos,Molti mattoni
item/Bricks8,Pallet of bricks,Палет кирпичей,Palette de briques,Palette Ziegelsteine,Palé de ladrillos,Pallet di mattoni
item/Bricks9,Pallet of bricks,Палет кирпичей,Palette de briques,Palette Ziegelsteine,Palé de ladrillos,Pallet di mattoni
item/Coin1,Coin,Монета,Pièce,Münze,Moneda,Moneta
item/Coin2,Pair of coins,Пара монет,Paire de pièces,Paar Münzen,Par de monedas,Coppia di monete
item/Coin3,A stack of coins,Стопка монет,Une pile de pièces,Ein Stapel Münzen,Montón de monedas,Una pila di monete
item/Coin4,A few coins,Несколько монет,Quelques pièces,Ein paar Münzen,Unas pocas monedas,Poche monete
item/Coin5,Lots of coins,Много монет,Beaucoup de pièces,Eine Menge Münzen,Muchas monedas,Molte monete
item/Coin6,Bag of coins,Мешок монет,Sac de pièces,Beutel Münzen,Bolsa de monedas,Sacchetto di monete
item/Tiles1,Tile shards,Осколки плитки,Morceaux de carreaux,Fliesenscherben,Trozos de baldosa,Frammenti di piastrelle
item/Tiles2,Mosaic,Мозайка,Mosaïque,Mosaik,Mosaico,Mosaico
item/Tiles3,Tiles,Плитка,Carreaux,Fliesen,Baldosas,Piastrelle
item/Tiles4,Multiple tiles,Несколько плиток,Plusieurs carreaux,Mehrere Fliesen,Varias baldosas,Molte piastrelle
item/Tiles5,Stack of tiles,Стопка плиток,Pile de carreaux,Stapel Fliesen,Pila de baldosas,Pila di piastrelle
item/Tiles6,Pack of tiles,Пачка плиток,Lot de carreaux,Paket Fliesen,Paquete de baldosas,Pacco di piastrelle
item/Tiles7,Packs of tiles,Пачки плиток,Lots de carreaux,Pakete Fliesen,Paquetes de baldosas,Pacchi di piastrelle
item/Flower1,Sprout,Росток,Pousse,Spross,Brote,Germoglio
item/Flower2,Sprout,Росток,Pousse,Spross,Brote,Germoglio
item/Flower3,Sprout,Росток,Pousse,Spross,Brote,Germoglio
item/Flower4,Flower in a pot,Цветок в горшке,Fleur dans un pot,Blume im Topf,Flor en maceta,Fiori in un vaso
item/Flower5,Bud,Бутон,Bourgeon,Knospe,Capullo,Gemma
item/Flower6,Blossoming flower,Расцвет. цветок,Fleur épanouie,Blühende Blume,Flor florecida,Fiore che sboccia
item/Cleaning1,Rag,Тряпка,Chiffon,Lappen,Trapo,Straccio
item/Cleaning2,Sponge,Губка,Éponge,Schwamm,Esponja,Spugna
item/Cleaning3,Bucket,Ведро,Seau,Eimer,Cubo,Secchio
item/Cleaning4,Brush,Щётка,Pinceau,Bürste,Cepillo,Pennello
item/Cleaning5,Dust broom,Метёлка от пыли,Balai à poussière,Staubwedel,Escoba,Scopa per la polvere
item/Cleaning6,Dust broom,Метёлка от пыли,Balai à poussière,Staubwedel,Escoba,Scopa per la polvere
item/Cleaning7,Brush,Щётка,Pinceau,Bürste,Cepillo,Pennello
item/Cleaning8,Brush with dustpan,Щётка с совком,Brosse et pelle à poussière,Bürste und Schaufel,Cepillo con recogedor,Pennello con paletta
item/Cleaning9,Mop,Швабра,Serpillère,Mopp,Mopa,Mocio
item/Cleaning10,Vacuum Cleaner,Пылесос,Aspirateur,Staubsauger,Aspiradora,Aspirapolvere
item/Cleaning11,Robot vacuum cleaner,Робот пылесос,Robot aspirateur,Staubsauger-Roboter,Robot aspiradora,Robot aspirapolvere
item/Paint1,Paint tube,Тюбик краски,Tube de peinture,Farbtube,Pintura en tubo,Tubo di vernice
item/Paint2,Paint tubes,Тюбики краски,Tubes de peinture,Farbtuben,Pintura en tubos,Tubi di vernice
item/Paint3,Empty paint can,Пустая банка краски,Pot de peinture vide,Leere Farbdose,Bote de pintura vacía,Barattolo di vernice vuoto
item/Paint4,Pair of paint cans,Пара банок с краской,Paire de pots de peinture,Paar Farbdosen,Par de botes de pintura,Coppia di barattoli di vernice
item/Paint5,Paint cans,Банки с краской,Pots de peinture,Farbdosen,Botes de pintura,Barattoli di vernice
item/Paint6,Paint bucket,Ведро краски,Seau de peinture,Farbeimer,Cubo de pintura,Secchio di vernice
item/Shelves1,Shelf,Полка,Étagère,Regal,Estante,Scaffale
item/Shelves2,Shelves,Полки,Étagères,Regale,Estanterías,Scaffali
item/Shelves3,Shelves,Полки,Étagères,Regale,Estanterías,Scaffali
item/Shelves4,Nightstand,Тумбочка,Table de nuit,Nachttisch,Mesita de noche,Comodino
item/Shelves5,Nightstand,Тумбочка,Table de nuit,Nachttisch,Mesita de noche,Comodino
item/Shelves6,Dresser,Комод,Commode-coiffeuse,Kommode,Cómoda,Cassettiera
item/Shelves7,Closet,Шкаф,Placard,Schrank,Armario,Armadio
item/Shelves8,Big cupboard,Большой шкаф,Grand placard,Großer Schrank,Armario grande,Grande armadio
item/Carpet1,Small rug,Маленький коврик,Petit tapis,Kleiner Vorleger,Alfombra pequeña,Piccolo tappeto
item/Carpet2,Round rug,Круглый коврик,Tapis rond,Runder Vorleger,Alfombra redonda,Tappeto rotondo
item/Carpet3,Carpet,Ковёр,Tapis,Teppich,Moqueta,Moquette
item/Carpet4,Large rug,Большой ковёр,Gros tapis,Großer Vorleger,Alfombra grande,Grande tappeto
item/Chairs1,Stool,Табурет,Tabouret,Hocker,Taburete,Sgabello
item/Chairs2,Chair,Стул,Chaise,Stuhl,Silla,Sedia
item/Chairs3,Soft chair,Мягкий стул,Chaise souple,Weicher Stuhl,Silla suave,Sedia imbottita
item/Chairs4,Poufik,Пуфик,Poufik,Pouf,Puf,Poufik
item/Chairs5,Armchair,Кресло,Fauteuil,Sessel,Sillón,Poltrona
item/Chairs6,Soft armchair,Мягкое кресло,Fauteuil douillet,Weicher Sessel,Sillón suave,Poltrona imbottita
item/Chairs7,Sofa,Диван,Canapé,Sofa,Sofá,Divano
item/Chairs8,Large sofa,Большой диван,Gros canapé,Großes Sofa,Sofá grande,Grande divano
item/Tables1,Table detail,Деталь стола,Détail de table,Holzdübel,Detalles de mesa,Dettaglio tavolino
item/Tables2,Breakfast table,Столик для завтраков,Table de petit-déjeuner,Frühstückstisch,Mesa de desayuno,Tavolino per la colazione
item/Tables3,Coffee table,Кофейный стол,Table basse,Couchtisch,Mesa de café,Tavolino da caffè
item/Tables4,Bar table,Барный стол,Table de bar,Bartisch,Mesa de bar,Tavolino da bar
item/Tables5,Table,Стол,Table,Tisch,Mesa,Tavolino
item/Tables6,Large table,Большой стол,Grosse table,Großer Tisch,Mesa grande,Grande tavolino
item/Toolbox1,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox2,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox3,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox4,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox5,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox6,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox7,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox8,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox9,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolbox10,Toolbox,Ящик для инструм.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolcase1,Toolbox,Кейс для интсрум.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolcase2,Toolbox,Кейс для интсрум.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolcase3,Toolbox,Кейс для интсрум.,Boîte à outils,Werkzeugkasten,Caja de materiales,Cassetta degli attrezzi
item/Toolcase4,Toolcase,Кейс для интсрум.,Mallette à outils,Werkzeugkoffer,Caja de herramientas,Valigetta degli attrezzi
item/Toolcase5,Toolcase,Кейс для интсрум.,Mallette à outils,Werkzeugkoffer,Caja de herramientas,Valigetta degli attrezzi
item/Toolcase6,Toolcase,Кейс для интсрум.,Mallette à outils,Werkzeugkoffer,Caja de herramientas,Valigetta degli attrezzi
item/Toolcase7,Toolcase,Кейс для интсрум.,Mallette à outils,Werkzeugkoffer,Caja de herramientas,Valigetta degli attrezzi
item/Toolcase8,Toolcase,Кейс для интсрум.,Mallette à outils,Werkzeugkoffer,Caja de herramientas,Valigetta degli attrezzi
item/Case1,Case,Кейс,Boîtier,Koffer,Caja,Valigetta
item/Case2,Case,Кейс,Boîtier,Koffer,Caja,Valigetta
item/Chest1,Chest,Сундук,Coffre,Truhe,Cofre,Cassa
item/Chest2,Chest,Сундук,Coffre,Truhe,Cofre,Cassa
item/Chest3,Chest,Сундук,Coffre,Truhe,Cofre,Cassa
item/Appliances1,Button,Кнопка,Bouton,Taste,Botón,Pulsante
item/Appliances2,Switch,Тумблер,Interrupteur,Schalter,Interruptor,Interruttore
item/Appliances3,Remote,Пульт,Télécommande,Fernbedienung,Control remoto,Telecomando
item/Appliances4,Remote,Пульт,Télécommande,Fernbedienung,Control remoto,Telecomando
item/Appliances5,Phone,Телефон,Téléphone,Telefon,Teléfono,Telefono
item/Appliances6,Microwave,СВЧ-печь,Four à micro-ondes,Mikrowelle,Microondas,Microonde
item/Appliances7,Furnace,Печь,Four,Ofen,Horno,Forno
item/Appliances8,Fridge,Холодил.,Réfrigérateur,Kühlschrank,Nevera,Frigorifero
item/Appliances9,TV,Телевизор,TV,Fernseher,Tele,TV
item/Appliances10,Home cinema,Домашний кинотеатр,Home cinema,Heimkino,Home cinema,Home cinema
item/Pipe1,Tube mount,Крепление трубы,Montage sur tube,Rohrhalterung,Tubo de montaje,Supporto per tubo
item/Pipe2,Pipe corner,Уголок трубы,Tuyau en coin,Knierohr,Codo,Angolo di tubatura
item/Pipe3,Connecting pipes,Соедин. труб,Tuyaux de raccordement,Verbindungsrohr,Conectar tubos,Collegamento tubature
item/Pipe4,Pipe branching,Разветвл.трубы,Branchement de tuyaux,Rohrverzweigung,Tubería ramificada,Ramificazione tubatura
item/Pipe5,Pipe,Труба,Tuyau,Rohr,Tubería,Tubatura
item/Pipe6,Pipe,Труба,Tuyau,Rohr,Tubería,Tubatura
item/Pipe7,Large pipe,Большая труба,Gros tuyau,Großes Rohr,Tubería grande,Grande tubatura
item/Pipe8,Large pipe branching,Большое разветвл. труб,Gros branchement de tuyau,Große Rohrverzweigung,Tubería grande ramificada,Ramificazione di grandi tubature
item/Plumbing1,Water,Вода,Eau,Wasser,Agua,Acqua
item/Plumbing2,Valve,Вентиль,Soupape,Ventil,Válvula,Valvola
item/Plumbing3,Faucet,Смеситель,Robinet,Wasserhahn,Grifo,Rubinetto
item/Plumbing4,Shower,Душ,Douche,Dusche,Ducha,Doccia
item/Plumbing5,Sink,Раковина,Évier,Waschbecken,Lavabo,Lavabo
item/Plumbing6,Sink,Раковина,Évier,Waschbecken,Lavabo,Lavabo
item/Plumbing7,Urinal,Писсуар,Urinoir,Urinal,Orinal,Orinatorio
item/Plumbing8,Toilet,Унитаз,Toilettes,Toilette,Baño,Gabinetto
item/Plumbing9,Shower cabin,Душевая кабина,Cabine de douche,Duschkabine,Ducha,Cabina doccia
item/Plumbing10,Bathtub,Ванна,Baignoire,Badewanne,Bañera,Vasca da bagno
item/Plumbing11,Jacuzzi,Джакузи,Jacuzzi,Whirlpool,Jacuzzi,Jacuzzi
item/Gems1,Crystal,Кристалл,Cristal,Kristall,Cristal,Cristallo
item/Gems2,Pair of crystals,Пара кристалл.,Paire de cristaux,Paar Kristalle,Par de gemas,Coppia di cristalli
item/Gems3,Some crystals,Немного кристалл.,Quelques cristaux,Einige Kristalle,Algunas gemas,Alcuni cristalli
item/Gems4,A bag of crystals,Мешочек с кристалл.,Un sac de cristaux,Ein Beutel Kristalle,Una bolsa de gemas,Una borsa di cristalli
item/Delivery1,Garden cart,Тачка,Chariot de jardin,Schubkarre,Carretilla,Carrello da giardino
item/Delivery2,Cart,Тележка,Chariot,Sackkarre,Carro,Carrello
item/Delivery3,Forklift loader,Вилочный погрузчик,Chargeur de chariot élévateur,Gabelstapler,Carretilla elevadora,Carrello elevatore a forca
item/Delivery4,Wagon,Фургон,Wagon,Sprinter,Vagón,Vagone
item/Delivery5,Body truck,Кузовной грузовик,Carrosserie de camion,Lastwagen,Camión,Corpo camion
item/Delivery6,Small crane,Маленький кран,Petite grue,Kleiner Kran,Minigrúa,Gru piccola
item/Paintings1,Canvas,Холст,Toile,Leinenstoff,Lienzo,Tela
item/Paintings2,Blank canvas,Чистый холст,Toile vierge,Leere Leinwand,Lienzo en blanco,Tela bianca
item/Paintings3,Sketch,Набросок,Dessin,Skizze,Boceto,Schizzo
item/Paintings4,Simple picture,Простая картина,Image simple,Einfaches Bild,Dibujo simple,Dipinto semplice
item/Paintings5,Painting,Картина,Peinture,Gemälde,Cuadro,Pittura
item/Paintings6,Masterpiece,Шедевр,Chef-d’œuvre,Meisterwerk,Obra maestra,Capolavoro
item/Energy1,Energy,Энергия,Énergie,Energie,Energía,Energia
item/Energy2,Energy,Энергия,Énergie,Energie,Energía,Energia
item/Energy3,Energy,Энергия,Énergie,Energie,Energía,Energia
item/Energy4,Energy,Энергия,Énergie,Energie,Energía,Energia
item/Energy5,Energy,Энергия,Énergie,Energie,Energía,Energia
item/EnergyChest1,Energy Chest,Сундук энергии,Coffre d’énergie,Energietruhe,Cofre de energía,Forziere dell'energia
item/SewingBox1,Small casket,Маленькая шкатулка,Petit coffret,Kleines Kästchen,Joyero pequeño,Piccolo scrigno
item/SewingBox2,Small casket with cover,Маленькая шкатулка с крышкой,Petit coffret avec couvercle,Kleines Kästchen mit Deckel,Joyero pequeño con tapa,Piccolo scrigno con coperchio
item/SewingBox3,Pattern casket,Шкатулка с узором,Coffret à motifs,Kasten mit Muster,Joyero con patrón,Scrigno modello
item/SewingBox4,Lacquered casket,Лакиров. шкатулка,Coffret laqué,Lackierter Kasten,Joyero barnizado,Scrigno laccato
item/SewingBox5,Casket,Шкатулка,Coffret,Kasten,Joyero,Scrigno
item/SewingBox6,Big casket,Большая шкатулка,Grand coffret,Großer Kasten,Joyero grande,Scrigno enorme
item/SewingBox7,Large casket,Огромная шкатулка,Gros coffret,Größerer Kasten,Joyero enorme,Scrigno grande
item/Type1Box1,Box 1,Ящик 1,Boîte 1,Kiste 1,Caja 1,Scatola 1
item/Type2Box1,Box 2,Ящик 2,Boîte 2,Kiste 2,Caja 2,Scatola 2
item/Type3Box1,Box 3,Ящик 3,Boîte 3,Kiste 3,Caja 3,Scatola 3
item/Type4Box1,Box 4,Ящик 4,Boîte 4,Kiste 4,Caja 4,Scatola 4
item/Type5Box1,Box 5,Ящик 5,Boîte 5,Kiste 5,Caja 5,Scatola 5
item/Wires1,Wire,Проводок,Fil,Kabel,Cable,Cavo
item/Wires2,Power Adapter,Адаптер питания,Adaptateur électrique,Stromadapter,Adaptador de corriente,Adattatore di corrente
item/Wires3,USB cable,USB кабель,Câble USB,USB-Kabel,Cable USB,Cavo USB
item/Wires4,Surge protector,Сетевой фильтр,Parasurtenseur,Überspannungsschutz,Protección de sobrecarga,Protettore per sovratensioni
item/Wires5,Large surge protector,Большой сетевой фильтр,Gros parasurtenseur,Großer Überspannungsschutz,Protección de sobrecarga grande,Grande protettore per sovratensioni
item/Wires6,Reel of wire,Моток провода,Bobine de fil,Kabelspule,Bobina de cable,Bobina di cavo
item/Wires7,Reel of wire,Катушка провода,Bobine de fil,Kabelspule,Bobina de cable,Bobina di cavo
item/Wires8,Reel of wire,Катушки проводов,Bobine de fil,Kabelspule,Bobina de cable,Bobina di cavo
item/MysteryChest1,Mystery box,Загадоч. коробка,Boîte mystère,Geheimnisvolle Kiste,Caja misteriosa,Scatola misteriosa
item/Mirrors1,Mirror shard,Осколок зеркала,Morceau de miroir,Spiegelscherbe,Trozo de espejo,Frammento di specchio
item/Mirrors2,Little Mirror,зеркальце,Petit miroir,Kleiner Spiegel,Espejo pequeño,Piccolo specchio
item/Mirrors3,Table mirror,Настол. зеркало,Miroir de table,Tischspiegel,Espejo de mesa,Specchio da tavolo
